filename,name,age,age_group,gender,right_eye,left_eye,mouth_center,left_ear_lobe,right_ear_lobe
data_CTai/face_images/img-id1-object-1.png,fredy,32,adult,male,81 82,159 102,70 193,244 177,Inf Inf
data_CTai/face_images/img-id2-object-1.png,victor,3,infant,male,48 55,99 73,20 125,152 146,Inf Inf
data_CTai/face_images/img-id3-object-1.png,fredy,32,adult,male,55 88,127 89,45 184,248 126,Inf Inf
data_CTai/face_images/img-id3-object-2.png,victor,3,infant,male,47 44,94 60,14 112,Inf Inf,Inf Inf
data_CTai/face_images/img-id4-object-1.png,fredy,32,adult,male,68 74,145 64,86 171,266 118,Inf Inf
data_CTai/face_images/img-id5-object-1.png,fredy,32,adult,male,50 102,127 92,78 210,257 123,Inf Inf
data_CTai/face_images/img-id5-object-2.png,victor,3,infant,male,30 60,88 66,29 137,Inf Inf,Inf Inf
data_CTai/face_images/img-id6-object-1.png,fredy,32,adult,male,37 104,113 98,47 201,241 137,Inf Inf
data_CTai/face_images/img-id6-object-2.png,victor,3,infant,male,55 54,116 52,73 115,Inf Inf,Inf Inf
data_CTai/face_images/img-id7-object-1.png,fredy,32,adult,male,45 81,93 90,12 237,225 137,Inf Inf
data_CTai/face_images/img-id8-object-1.png,fredy,32,adult,male,28 121,83 120,34 253,235 120,Inf Inf
data_CTai/face_images/img-id9-object-1.png,fredy,32,adult,male,63 90,146 83,93 185,258 125,Inf Inf
data_CTai/face_images/img-id10-object-1.png,victor,3,infant,male,149 106,211 91,211 186,Inf Inf,65 149
data_CTai/face_images/img-id13-object-1.png,victor,3,infant,male,338 147,482 164,433 351,Inf Inf,119 264
data_CTai/face_images/img-id14-object-1.png,victor,3,infant,male,311 258,472 273,366 498,Inf Inf,Inf Inf
data_CTai/face_images/img-id15-object-1.png,victor,3,infant,male,144 235,314 260,222 464,Inf Inf,Inf Inf
data_CTai/face_images/img-id16-object-1.png,victor,3,infant,male,364 110,493 122,477 314,Inf Inf,145 242
data_CTai/face_images/img-id17-object-1.png,victor,3,infant,male,368 182,518 188,474 392,Inf Inf,145 290
data_CTai/face_images/img-id18-object-1.png,fredy,32,adult,male,208 61,257 62,Inf Inf,Inf Inf,78 119
data_CTai/face_images/img-id18-object-2.png,victor,3,infant,male,27 56,83 59,28 107,145 125,Inf Inf
data_CTai/face_images/img-id19-object-1.png,fredy,32,adult,male,195 61,261 55,275 148,Inf Inf,79 119
data_CTai/face_images/img-id20-object-1.png,victor,3,infant,male,47 67,108 78,44 133,Inf Inf,Inf Inf
data_CTai/face_images/img-id21-object-1.png,victor,3,infant,male,Inf Inf,87 59,22 112,162 135,Inf Inf
data_CTai/face_images/img-id22-object-1.png,fredy,32,adult,male,195 72,237 43,322 120,Inf Inf,105 176
data_CTai/face_images/img-id22-object-2.png,victor,3,infant,male,28 73,80 77,41 160,163 113,Inf Inf
data_CTai/face_images/img-id24-object-1.png,fredy,32,adult,male,182 244,279 235,249 376,Inf Inf,Inf Inf
data_CTai/face_images/img-id25-object-1.png,fredy,32,adult,male,38 132,105 143,23 275,264 145,Inf Inf
data_CTai/face_images/img-id26-object-1.png,fredy,32,adult,male,133 92,198 102,163 205,Inf Inf,Inf Inf
data_CTai/face_images/img-id27-object-1.png,fredy,32,adult,male,51 97,117 98,54 205,228 103,Inf Inf
data_CTai/face_images/img-id28-object-1.png,fredy,32,adult,male,53 105,126 114,74 223,225 101,Inf Inf
data_CTai/face_images/img-id29-object-1.png,fredy,32,adult,male,91 272,Inf Inf,145 604,Inf Inf,Inf Inf
data_CTai/face_images/img-id31-object-1.png,victor,3,infant,male,59 96,150 113,37 218,252 228,Inf Inf
data_CTai/face_images/img-id32-object-2.png,victor,3,infant,male,24 61,61 59,15 121,127 108,Inf Inf
data_CTai/face_images/img-id33-object-1.png,fredy,32,adult,male,90 51,155 60,117 126,Inf Inf,Inf Inf
data_CTai/face_images/img-id34-object-1.png,victor,3,infant,male,19 55,63 62,Inf Inf,133 104,Inf Inf
data_CTai/face_images/img-id34-object-2.png,fredy,32,adult,male,41 70,95 72,31 186,204 107,Inf Inf
data_CTai/face_images/img-id35-object-1.png,fredy,32,adult,male,88 72,169 73,116 182,Inf Inf,Inf Inf
data_CTai/face_images/img-id35-object-2.png,victor,3,infant,male,51 62,113 62,Inf Inf,Inf Inf,Inf Inf
data_CTai/face_images/img-id36-object-1.png,fredy,32,adult,male,146 97,227 94,215 217,Inf Inf,Inf Inf
data_CTai/face_images/img-id37-object-2.png,victor,3,infant,male,36 75,92 85,Inf Inf,Inf Inf,Inf Inf
data_CTai/face_images/img-id38-object-1.png,victor,3,infant,male,38 42,97 58,48 97,Inf Inf,Inf Inf
data_CTai/face_images/img-id38-object-2.png,fredy,32,adult,male,179 78,Inf Inf,Inf Inf,Inf Inf,56 131
data_CTai/face_images/img-id40-object-1.png,fredy,32,adult,male,97 75,177 74,Inf Inf,Inf Inf,Inf Inf
data_CTai/face_images/img-id40-object-2.png,victor,3,infant,male,64 41,89 60,20 106,165 137,Inf Inf
data_CTai/face_images/img-id41-object-1.png,fredy,32,adult,male,82 117,162 125,114 244,Inf Inf,Inf Inf
data_CTai/face_images/img-id42-object-1.png,fredy,32,adult,male,154 70,230 65,222 162,Inf Inf,59 130
data_CTai/face_images/img-id42-object-2.png,victor,3,infant,male,33 74,88 66,Inf Inf,181 78,Inf Inf
data_CTai/face_images/img-id43-object-1.png,fredy,32,adult,male,Inf Inf,250 73,297 167,Inf Inf,56 149
data_CTai/face_images/img-id43-object-2.png,victor,3,infant,male,Inf Inf,51 83,23 164,163 89,Inf Inf
data_CTai/face_images/img-id44-object-1.png,fredy,32,adult,male,189 49,250 49,285 119,Inf Inf,88 141
data_CTai/face_images/img-id45-object-1.png,fredy,32,adult,male,196 59,250 49,Inf Inf,Inf Inf,93 152
data_CTai/face_images/img-id45-object-2.png,victor,3,infant,male,36 79,85 79,41 162,165 101,Inf Inf
data_CTai/face_images/img-id46-object-1.png,victor,3,infant,male,54 61,115 67,63 139,Inf Inf,Inf Inf
data_CTai/face_images/img-id47-object-1.png,fredy,32,adult,male,44 90,91 99,39 210,219 148,Inf Inf
data_CTai/face_images/img-id47-object-2.png,victor,3,infant,male,Inf Inf,45 57,11 123,102 115,Inf Inf
data_CTai/face_images/img-id49-object-1.png,fredy,32,adult,male,131 85,196 70,204 192,Inf Inf,52 143
data_CTai/face_images/img-id50-object-1.png,fredy,32,adult,male,228 105,324 98,324 278,Inf Inf,81 166
data_CTai/face_images/img-id51-object-1.png,fredy,32,adult,male,191 171,299 168,252 329,Inf Inf,Inf Inf
data_CTai/face_images/img-id53-object-1.png,fredy,32,adult,male,226 220,309 212,271 380,Inf Inf,59 160
data_CTai/face_images/img-id54-object-2.png,victor,3,infant,male,Inf Inf,95 126,3 180,161 245,Inf Inf
data_CTai/face_images/img-id55-object-1.png,fredy,32,adult,male,63 134,134 153,63 330,315 158,Inf Inf
data_CTai/face_images/img-id56-object-1.png,fredy,32,adult,male,226 100,320 111,310 254,Inf Inf,59 139
data_CTai/face_images/img-id57-object-1.png,fredy,32,adult,male,141 220,245 213,202 398,Inf Inf,Inf Inf
data_CTai/face_images/img-id58-object-1.png,fredy,32,adult,male,260 111,Inf Inf,372 242,Inf Inf,96 189
data_CTai/face_images/img-id59-object-2.png,victor,3,infant,male,Inf Inf,102 88,18 153,166 228,Inf Inf
data_CTai/face_images/img-id61-object-1.png,fredy,32,adult,male,699 184,879 197,1049 476,Inf Inf,298 497
data_CTai/face_images/img-id62-object-1.png,fredy,32,adult,male,690 212,809 212,Inf Inf,Inf Inf,267 461
data_CTai/face_images/img-id64-object-1.png,fredy,32,adult,male,714 174,832 164,1071 478,Inf Inf,283 461
data_CTai/face_images/img-id65-object-1.png,fredy,32,adult,male,674 250,837 177,1040 526,Inf Inf,287 487
data_CTai/face_images/img-id66-object-1.png,fredy,32,adult,male,621 115,776 130,Inf Inf,Inf Inf,288 424
data_CTai/face_images/img-id67-object-1.png,fredy,32,adult,male,556 212,768 152,Inf Inf,Inf Inf,267 474
data_CTai/face_images/img-id69-object-1.png,fredy,32,adult,male,198 57,248 52,Inf Inf,Inf Inf,83 117
data_CTai/face_images/img-id71-object-1.png,fredy,32,adult,male,99 67,173 73,134 153,Inf Inf,Inf Inf
data_CTai/face_images/img-id72-object-1.png,victor,3,infant,male,Inf Inf,74 88,21 150,142 169,Inf Inf
data_CTai/face_images/img-id73-object-1.png,victor,3,infant,male,52 54,94 81,19 144,173 150,Inf Inf
data_CTai/face_images/img-id78-object-1.png,fredy,32,adult,male,382 156,556 178,496 436,Inf Inf,Inf Inf
data_CTai/face_images/img-id79-object-1.png,fredy,32,adult,male,432 176,589 115,684 325,Inf Inf,154 358
data_CTai/face_images/img-id80-object-1.png,fredy,32,adult,male,445 141,616 108,674 340,Inf Inf,165 262
data_CTai/face_images/img-id81-object-1.png,fredy,32,adult,male,74 220,198 250,59 565,554 302,Inf Inf
data_CTai/face_images/img-id84-object-1.png,fredy,32,adult,male,311 281,520 303,410 589,Inf Inf,Inf Inf
data_CTai/face_images/img-id85-object-1.png,fredy,32,adult,male,34 111,85 129,27 221,198 136,Inf Inf
data_CTai/face_images/img-id85-object-2.png,victor,3,infant,male,120 39,Inf Inf,175 90,Inf Inf,66 109
data_CTai/face_images/img-id86-object-1.png,fredy,32,adult,male,41 112,108 116,50 245,248 120,Inf Inf
data_CTai/face_images/img-id86-object-2.png,victor,3,infant,male,148 94,Inf Inf,190 155,Inf Inf,54 130
data_CTai/face_images/img-id87-object-2.png,fredy,32,adult,male,Inf Inf,90 87,16 203,212 156,Inf Inf
data_CTai/face_images/img-id88-object-1.png,fredy,32,adult,male,65 46,134 46,50 156,250 132,Inf Inf
data_CTai/face_images/img-id88-object-2.png,victor,3,infant,male,130 65,185 54,190 143,Inf Inf,61 126
data_CTai/face_images/img-id89-object-1.png,victor,3,infant,male,110 66,166 52,175 127,Inf Inf,59 154
data_CTai/face_images/img-id90-object-1.png,victor,3,subadult,male,142 60,159 36,204 114,Inf Inf,79 132
data_CTai/face_images/img-id90-object-2.png,fredy,32,adult,male,28 149,81 147,39 273,208 108,Inf Inf
data_CTai/face_images/img-id91-object-1.png,victor,3,infant,male,158 85,192 66,203 157,Inf Inf,76 132
data_CTai/face_images/img-id91-object-2.png,fredy,32,adult,male,32 147,98 160,35 279,232 136,Inf Inf
data_CTai/face_images/img-id93-object-1.png,fredy,32,adult,male,82 75,137 88,34 170,254 152,Inf Inf
data_CTai/face_images/img-id93-object-2.png,victor,3,infant,male,162 99,190 82,198 179,Inf Inf,Inf Inf
data_CTai/face_images/img-id94-object-2.png,fredy,32,adult,male,80 49,131 56,25 142,269 96,Inf Inf
data_CTai/face_images/img-id95-object-1.png,fredy,32,adult,male,42 159,123 152,55 322,304 179,Inf Inf
data_CTai/face_images/img-id95-object-2.png,victor,3,infant,male,180 80,Inf Inf,258 161,Inf Inf,106 193
data_CTai/face_images/img-id96-object-1.png,fredy,32,adult,male,56 191,152 212,84 376,333 169,Inf Inf
data_CTai/face_images/img-id97-object-1.png,fredy,32,adult,male,72 222,165 185,159 377,335 155,Inf Inf
data_CTai/face_images/img-id98-object-1.png,victor,3,infant,male,186 83,Inf Inf,223 192,Inf Inf,73 153
data_CTai/face_images/img-id99-object-1.png,fredy,32,adult,male,113 171,222 164,191 375,383 117,Inf Inf
data_CTai/face_images/img-id100-object-1.png,fredy,32,adult,male,115 205,209 193,181 372,370 154,Inf Inf
data_CTai/face_images/img-id101-object-2.png,fredy,32,adult,male,56 117,124 112,13 229,299 182,Inf Inf
data_CTai/face_images/img-id103-object-1.png,victor,3,infant,male,212 114,265 96,274 210,Inf Inf,87 162
data_CTai/face_images/img-id103-object-2.png,fredy,32,adult,male,48 150,137 159,84 351,330 153,Inf Inf
data_CTai/face_images/img-id104-object-1.png,victor,32,adult,male,92 172,199 174,129 342,357 163,Inf Inf
data_CTai/face_images/img-id104-object-2.png,victor,3,infant,male,207 102,Inf Inf,270 167,Inf Inf,109 204
data_CTai/face_images/img-id106-object-1.png,victor,3,infant,male,208 96,267 83,289 201,Inf Inf,88 169
data_CTai/face_images/img-id106-object-2.png,fredy,32,adult,male,204 199,326 193,282 364,Inf Inf,Inf Inf
data_CTai/face_images/img-id115-object-1.png,fredy,32,adult,male,58 64,123 49,74 161,217 92,Inf Inf
data_CTai/face_images/img-id117-object-1.png,fredy,32,adult,male,57 54,123 49,87 153,216 88,Inf Inf
data_CTai/face_images/img-id118-object-1.png,fredy,32,adult,male,41 61,107 56,57 128,206 93,Inf Inf
data_CTai/face_images/img-id119-object-1.png,fredy,32,adult,male,139 55,204 50,204 153,Inf Inf,53 118
data_CTai/face_images/img-id120-object-1.png,fredy,32,adult,male,131 84,215 68,205 177,Inf Inf,Inf Inf
data_CTai/face_images/img-id121-object-1.png,fredy,32,adult,male,45 97,107 99,32 194,250 135,Inf Inf
data_CTai/face_images/img-id122-object-1.png,fredy,32,adult,male,52 76,140 71,72 193,243 118,Inf Inf
data_CTai/face_images/img-id123-object-1.png,fredy,32,adult,male,169 74,246 60,252 185,Inf Inf,70 152
data_CTai/face_images/img-id124-object-1.png,fredy,32,adult,male,38 126,94 120,64 231,217 93,Inf Inf
